# t x y z qx qy qz qw vx vy vz
0.706667 0.503483 -3.826787 3.162520 -0.120760 0.234883 0.269651 0.926032 2.412182 -6.343479 8.241545
0.710000 0.511549 -3.847947 3.190052 -0.120817 0.234889 0.270121 0.925886 2.427741 -6.352672 8.277606
0.713333 0.519667 -3.869138 3.217704 -0.120867 0.234884 0.270580 0.925747 2.442642 -6.361524 8.313603
0.716667 0.527832 -3.890357 3.245476 -0.120912 0.234869 0.271027 0.925614 2.456767 -6.369973 8.349517
0.720000 0.536044 -3.911603 3.273367 -0.120951 0.234847 0.271463 0.925487 2.469989 -6.377956 8.385326
0.723333 0.544297 -3.932876 3.301378 -0.120985 0.234818 0.271888 0.925365 2.482184 -6.385407 8.421005
0.726667 0.552590 -3.954172 3.329507 -0.121014 0.234784 0.272301 0.925248 2.493232 -6.392265 8.456531
0.730000 0.560917 -3.975490 3.357754 -0.121040 0.234747 0.272703 0.925136 2.503014 -6.398469 8.491880
0.733333 0.569274 -3.996827 3.386119 -0.121061 0.234707 0.273095 0.925028 2.511423 -6.403962 8.527026
0.736667 0.577657 -4.018181 3.414601 -0.121079 0.234666 0.273475 0.924923 2.518361 -6.408693 8.561947
0.740000 0.586060 -4.039550 3.443198 -0.121094 0.234624 0.273844 0.924823 2.523744 -6.412616 8.596620
0.743333 0.594479 -4.060931 3.471911 -0.121105 0.234583 0.274202 0.924725 2.527506 -6.415697 8.631027
0.746667 0.602908 -4.082320 3.500738 -0.121115 0.234543 0.274550 0.924631 2.529596 -6.417908 8.665151
0.750000 0.611340 -4.103715 3.529678 -0.121121 0.234505 0.274887 0.924540 2.529986 -6.419230 8.698976
0.753333 0.619771 -4.125114 3.558731 -0.121126 0.234468 0.275214 0.924452 2.528666 -6.419658 8.732493
0.756667 0.628195 -4.146512 3.587894 -0.121128 0.234434 0.275530 0.924366 2.525650 -6.419196 8.765695
0.760000 0.636606 -4.167907 3.617168 -0.121128 0.234402 0.275836 0.924283 2.520968 -6.417857 8.798580
0.763333 0.644999 -4.189296 3.646551 -0.121127 0.234372 0.276131 0.924202 2.514674 -6.415667 8.831148
